CST,Max TemperatureF,Mean TemperatureF,Min TemperatureF,Max Dew PointF,MeanDew PointF,Min DewpointF,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressureIn, Mean Sea Level PressureIn, Min Sea Level PressureIn, Max VisibilityMiles, Mean VisibilityMiles, Min VisibilityMiles, Max Wind SpeedMPH, Mean Wind SpeedMPH, Max Gust SpeedMPH,PrecipitationIn, CloudCover, Events, WindDirDegrees
2015-1-1,39,37,35,39,35,28,100,93,65,30.34,30.22,30.10,10,6,2,14,10,,0.13,8,Rain,13
2015-1-2,42,40,39,41,40,37,100,95,92,30.15,30.05,29.95,10,8,2,17,8,,0.24,8,Rain-Thunderstorm,2
2015-1-3,62,51,40,43,40,37,95,87,47,30.12,29.97,29.91,10,9,2,12,5,,0.13,6,Rain-Thunderstorm,301
2015-1-4,53,44,36,36,31,24,93,60,40,30.63,30.45,30.19,10,10,10,20,8,25,0.00,0,,7
2015-1-5,50,40,30,28,23,19,67,53,36,30.69,30.57,30.45,10,10,9,12,8,,0.00,0,,66
2015-1-6,64,52,39,36,30,26,66,46,25,30.44,30.38,30.31,10,10,7,10,6,,0.00,1,,222
2015-1-7,53,44,33,38,29,8,80,54,34,30.74,30.53,30.32,10,10,10,26,11,34,0.00,2,,351
2015-1-8,39,33,27,23,13,4,56,43,35,30.74,30.49,30.30,10,10,10,15,9,21,0.00,5,,109
2015-1-9,39,36,32,34,28,23,89,74,52,30.54,30.44,30.29,10,8,2,20,10,26,0.07,7,Rain,23
2015-1-10,35,34,32,34,30,25,100,88,71,30.51,30.38,30.26,10,7,2,13,9,,0.15,8,Rain,13
2015-1-11,52,44,35,45,38,34,100,90,74,30.27,30.19,30.09,10,8,2,12,6,,0.17,7,Rain,2
2015-1-12,50,43,36,44,39,35,100,90,76,30.40,30.23,30.16,10,7,0,20,7,26,0.00,3,Fog,329
2015-1-13,42,40,37,36,33,32,83,78,70,30.48,30.39,30.33,10,10,10,18,13,25,0.00,8,,358
2015-1-14,39,38,38,38,37,34,94,91,81,30.38,30.31,30.25,10,7,2,10,7,,0.00,8,,7
2015-1-15,57,48,38,39,37,35,100,81,45,30.39,30.30,30.26,10,10,9,14,6,,0.00,5,,344
2015-1-16,62,48,34,40,36,32,91,65,37,30.38,30.29,30.19,10,10,10,9,7,,0.00,1,,241
2015-1-17,68,54,41,44,40,32,82,57,37,30.25,30.13,30.05,10,10,10,14,7,17,0.00,1,,259
2015-1-18,67,56,45,32,29,24,53,37,20,30.39,30.28,30.20,10,10,10,10,7,,0.00,0,,288
2015-1-19,72,58,44,48,42,32,82,63,35,30.19,30.06,29.94,10,10,10,12,6,17,0.00,1,,229
2015-1-20,81,60,38,50,45,36,94,64,30,30.00,29.93,29.85,10,10,9,10,5,,0.00,0,,254
2015-1-21,59,54,50,57,53,46,100,90,76,30.10,30.02,29.96,10,7,2,15,9,,0.21,7,Rain,40
2015-1-22,59,50,42,59,51,37,100,94,81,30.22,30.00,29.91,10,6,1,25,11,32,1.36,7,Rain,21
2015-1-23,46,42,38,39,37,34,93,82,68,30.32,30.25,30.20,10,10,3,17,12,24,0.10,6,Rain,324
2015-1-24,61,49,37,35,34,31,84,60,31,30.30,30.20,30.10,10,10,10,12,7,,0.00,1,,224
2015-1-25,70,55,40,40,36,30,82,54,25,30.22,30.12,30.04,10,10,10,15,6,,0.00,1,,299
2015-1-26,70,56,41,39,35,32,72,47,27,30.29,30.22,30.17,10,10,10,10,5,,0.00,0,,276
2015-1-27,80,62,43,41,37,33,73,46,18,30.21,30.16,30.10,10,10,10,10,5,,0.00,0,,290
2015-1-28,79,60,41,53,40,34,84,54,22,30.19,30.13,30.08,10,10,10,15,7,,0.00,0,,227
2015-1-29,73,62,51,59,55,38,100,89,43,30.35,30.19,30.13,10,6,0,12,5,,0.00,5,Fog,240
2015-1-30,59,54,49,41,37,32,67,54,44,30.42,30.32,30.25,10,10,10,15,9,20,0.00,5,,40
2015-1-31,62,56,49,61,53,39,100,95,62,30.24,30.06,29.91,10,6,1,10,7,,0.15,7,Rain,79
2015-2-1,74,62,46,63,58,28,100,90,48,30.23,29.94,29.89,10,6,0,23,7,33,0.00,4,Fog,174
2015-2-2,50,44,37,31,24,18,57,47,32,30.41,30.32,30.26,10,10,10,18,12,26,0.00,1,,29
2015-2-3,43,41,39,42,37,28,95,84,57,30.35,30.26,30.19,10,8,3,7,3,,0.29,7,Rain,118
2015-2-4,52,47,42,48,44,41,100,95,79,30.19,30.13,30.04,10,6,2,7,3,,0.02,8,Rain,142
2015-2-5,51,46,41,48,39,32,94,77,66,30.42,30.33,30.20,10,10,10,17,8,23,0.00,8,,6
2015-2-6,57,50,42,43,39,33,83,68,55,30.43,30.33,30.25,10,10,10,10,4,,0.00,6,,212
2015-2-7,68,57,46,55,48,42,100,75,51,30.23,30.09,29.99,10,10,10,16,8,22,0.00,5,,212
2015-2-8,74,65,55,59,57,46,100,93,50,30.00,29.93,29.80,10,6,1,13,9,17,0.00,7,,223
2015-2-9,81,66,51,48,45,41,78,54,24,30.14,30.06,29.98,10,9,2,7,5,,0.00,0,,332
2015-2-10,79,62,44,49,44,40,85,62,28,30.06,29.99,29.91,10,10,6,10,7,21,0.00,0,,221
2015-2-11,74,60,45,54,49,45,100,81,41,30.16,30.00,29.94,10,7,0,13,4,18,0.00,0,Fog,105
2015-2-12,64,56,48,50,39,34,77,53,36,30.38,30.29,30.20,10,10,10,16,12,24,0.00,4,,31
2015-2-13,67,56,44,46,39,33,68,53,36,30.36,30.30,30.23,10,10,10,8,5,,0.00,2,,240
2015-2-14,74,60,47,55,51,46,100,77,47,30.28,30.23,30.15,10,9,6,10,5,,0.00,1,,250
2015-2-15,69,64,58,63,60,53,100,89,73,30.15,30.01,29.91,10,10,6,13,6,,0.04,7,Rain,173
2015-2-16,64,52,38,63,41,28,94,79,53,30.17,29.99,29.83,10,9,4,22,13,32,0.05,8,Rain,7
2015-2-17,53,44,34,30,26,22,82,57,31,30.32,30.21,30.13,10,10,10,18,9,26,0.00,5,Rain,11
2015-2-18,62,47,32,30,28,26,82,50,26,30.37,30.30,30.24,10,10,10,13,6,17,0.00,0,,213
2015-2-19,69,59,49,50,44,27,76,56,38,30.35,30.17,30.07,10,10,7,18,12,24,0.00,1,,175
2015-2-20,76,66,57,61,56,50,89,77,50,30.05,29.94,29.75,10,10,10,22,12,29,0.00,7,,186
2015-2-21,77,68,58,61,58,47,86,70,49,29.97,29.88,29.81,10,10,10,18,12,24,0.00,6,,164
2015-2-22,63,53,41,56,49,35,88,78,63,30.32,30.04,29.94,10,10,9,25,11,36,0.00,8,Rain,30
2015-2-23,41,36,31,36,29,26,93,81,70,30.48,30.39,30.30,10,10,8,24,18,32,0.00,8,Rain,359
2015-2-24,40,35,30,33,29,27,93,83,66,30.37,30.21,30.00,10,9,2,12,8,,0.00,8,,8
2015-2-25,65,50,35,37,32,25,94,78,23,30.01,29.94,29.80,10,7,2,15,5,17,0.00,6,Rain,350
2015-2-26,57,44,32,37,32,22,87,65,46,30.33,30.14,29.90,10,10,10,22,9,26,0.00,3,,21
2015-2-27,37,34,32,30,25,20,93,72,51,30.39,30.32,30.26,10,10,10,18,14,25,0.00,8,Rain,24
2015-2-28,37,34,32,37,33,28,100,93,80,30.29,30.24,30.19,10,7,2,16,12,21,0.10,8,Rain,14
2015-3-1,45,41,37,45,40,37,100,96,93,30.31,30.22,30.17,10,7,2,17,11,,0.07,8,Rain,13
2015-3-2,46,42,39,45,42,38,100,95,87,30.32,30.22,30.15,10,5,1,16,10,,0.01,7,Rain,23
2015-3-3,59,50,42,57,50,43,100,97,87,30.11,29.95,29.83,10,2,0,8,4,,0.04,4,Fog-Rain,11
2015-3-4,68,52,37,68,57,32,100,97,80,30.15,29.86,29.77,10,4,0,30,6,43,0.03,6,Fog-Rain,89
2015-3-5,47,40,32,34,26,18,87,66,32,30.60,30.38,30.17,10,10,10,31,21,37,0.06,5,Rain,359
2015-3-6,54,42,29,35,24,19,76,52,32,30.63,30.53,30.45,10,10,7,10,6,,0.00,1,,59
2015-3-7,60,50,41,46,36,25,82,57,26,30.47,30.35,30.27,10,10,10,9,4,,0.01,6,Rain,104
2015-3-8,57,52,48,57,51,46,100,99,79,30.28,30.12,30.02,10,6,1,10,5,,0.61,6,Rain,110
2015-3-9,59,54,50,55,52,50,100,98,86,30.04,29.96,29.86,10,6,1,10,6,,0.95,7,Rain,21
2015-3-10,66,58,51,54,51,48,100,83,55,30.12,30.01,29.94,10,10,9,13,5,,0.00,6,,355
2015-3-11,59,54,50,52,50,48,96,82,71,30.23,30.17,30.11,10,10,10,15,8,,0.00,6,,18
2015-3-12,75,61,48,54,51,48,97,74,41,30.17,30.07,29.96,10,10,7,13,7,,0.00,2,,2
2015-3-13,75,62,49,54,50,44,100,77,33,30.04,30.00,29.94,10,10,8,12,5,18,0.00,1,Rain,320
2015-3-14,77,65,54,52,48,44,81,56,32,30.18,30.08,30.02,10,10,9,18,8,23,0.00,2,,3
2015-3-15,75,63,51,54,50,48,90,68,39,30.28,30.24,30.19,10,10,10,12,7,,0.00,1,,22
2015-3-16,69,61,53,63,60,52,100,91,56,30.27,30.18,30.15,10,5,1,9,4,,0.01,8,,101
2015-3-17,76,68,60,67,64,61,100,93,65,30.18,30.11,30.01,10,5,0,15,4,,0.01,7,Fog-Rain,189
2015-3-18,71,65,60,67,62,57,100,88,73,30.07,30.01,29.93,10,10,5,24,11,29,0.11,7,Rain,175
2015-3-19,76,70,64,70,66,64,100,93,73,30.00,29.96,29.90,10,7,0,12,4,,0.00,7,Fog,175
2015-3-20,70,65,59,70,65,58,100,96,83,30.14,30.07,29.99,10,8,2,18,5,26,0.40,8,Rain,126
